,bench_name,ext4_ncpu,ext4_ops,ext4_media,ext4_dax_ncpu,ext4_dax_ops,ext4_dax_media,ext4_dj_ncpu,ext4_dj_ops,ext4_dj_media,nova_ncpu,nova_ops,nova_media,p2cache_ncpu,p2cache_ops,p2cache_media,xfs_ncpu,xfs_ops,xfs_media,xfs_dax_ncpu,xfs_dax_ops,xfs_dax_media
0,A_100B,1,513734.38397,ssd,1,292386.408189,pmem,1,394703.829996,ssd,1,365201.604389,pmem,1,1297975.97611,pmem,1,978886.164447,ssd,1,419948.075053,pmem
1,A_16KB,1,54151.15324,ssd,1,54241.193545,pmem,1,7189.164563,ssd,1,262825.24303,pmem,1,383285.083487,pmem,1,119794.103884,ssd,1,73176.668684,pmem
2,A_1KB,1,334445.83933,ssd,1,151744.801254,pmem,1,101405.98369,ssd,1,272003.938778,pmem,1,1043028.133359,pmem,1,611778.790755,ssd,1,224188.351603,pmem
3,A_1MB,1,883.733013,ssd,1,7481.879822,pmem,1,113.173106,ssd,1,13572.26169,pmem,1,8663.429161,pmem,1,2091.042009,ssd,1,7733.671681,pmem
4,A_2KB,1,268631.862425,ssd,1,107360.23141,pmem,1,54294.522683,ssd,1,265335.8577,pmem,1,836865.712142,pmem,1,477752.516163,ssd,1,143779.245678,pmem
5,A_4KB,1,199019.720979,ssd,1,60532.015045,pmem,1,28332.779598,ssd,1,354061.57017,pmem,1,745595.72229,pmem,1,357255.387232,ssd,1,85020.015756,pmem
6,A_64KB,1,14086.795778,ssd,1,38425.637105,pmem,1,1785.709225,ssd,1,124645.288904,pmem,1,129473.775713,pmem,1,32361.922595,ssd,1,46869.010499,pmem
7,O_100B,1,833878.293301,ssd,1,456485.939934,pmem,1,527220.963811,ssd,1,369723.455074,pmem,1,1398570.405907,pmem,1,1022217.732945,ssd,1,793601.208338,pmem
8,O_1KB,1,659489.226922,ssd,1,381625.230787,pmem,1,93082.075219,ssd,1,268772.742139,pmem,1,933145.027013,pmem,1,795510.565451,ssd,1,706806.215669,pmem
9,O_2KB,1,570933.246216,ssd,1,365628.846496,pmem,1,48017.165316,ssd,1,229318.441071,pmem,1,1194454.759816,pmem,1,671574.32255,ssd,1,665269.184503,pmem
